title,PublishedAt,ID,views,likes,comments,Last_updated_Date
#LG트윈스 메가트윈스포 공장은 오늘도 열일중😎,2024-09-24T16:40:00Z,kw9G2I3Iql4,15458,1069,26,2024-11-26
대승을 이끈 홈런 타자👊 박동원&김성진의 [트윈스WIN터뷰],2024-09-24T16:06:09Z,nX2bgIm186s,15565,975,59,2024-11-26
9월 24일 LG vs SSG [2024 정규시즌 하이라이트],2024-09-24T14:24:18Z,xfI5dx2ztM0,46525,1426,125,2024-11-26
지금 이곳은 잠실 노래방🎤 타자 응원가 현장 직캠 [트윈스 치얼업],2024-09-24T06:13:27Z,LXdPeczGUzs,55334,1643,193,2024-11-26
힐링 캠프와 함께 김진성&유영찬&이지강의 피로를 풀리오🏕 [LP],2024-09-23T09:00:27Z,US1nOKAl9bk,25747,1296,460,2024-11-26
#LG트윈스 #위닝모먼트 우리를 끓게 만든 오스틴의 플레이🔥,2024-09-23T05:00:33Z,ilO_7gJJezA,16601,1094,17,2024-11-26
쯔위의 눈부신 첫 단독 시구 눌러봐 Play🐶⚾️ [트윈스REC],2024-09-23T04:45:51Z,RPd-SAhVcho,64553,4815,264,2024-11-26
#LG트윈스 오지환 1000득점 출장 달성 기념 시상식🏅,2024-09-23T03:00:08Z,FoVzsY-q5GE,13193,772,18,2024-11-26
폭풍 질주! 위닝으로 달린다💨 9월 22일 [덕아웃 직캠],2024-09-23T01:00:16Z,Ub5znL_k6ZI,60796,2468,140,2024-11-26
뜨거운 홈런🔥 박해민&문보경의 [트윈스WIN터뷰],2024-09-22T14:20:46Z,r6ZsCv3Plic,15946,1094,120,2024-11-26
#LG트윈스 박해민의 통산 첫 인사이드 더 파크 홈런🚘,2024-09-22T11:40:00Z,A4txh-nnXGs,83030,5947,240,2024-11-26
#LG트윈스 문보경 데뷔 첫 20홈런 달성✌️⚾️,2024-09-22T11:06:07Z,avxCtd7DKZU,36100,2269,76,2024-11-26
9월 22일 두산 vs LG [2024 정규시즌 하이라이트],2024-09-22T10:36:04Z,eQ8UgfkQ-ik,64319,1843,209,2024-11-26
#LG트윈스 #RunAway_쯔위 🏃‍♀️ with 럭키&스타⚾️,2024-09-22T06:07:40Z,FnqSJfQzNqE,254404,16831,157,2024-11-26
여기는 고구마의 나라야🍠 9월 21일 DH 2 [덕아웃 직캠],2024-09-22T01:00:31Z,cEELFTRgTCI,35444,1685,95,2024-11-26
완벽 그 자체👍 오스틴&손주영의 [트윈스WIN터뷰],2024-09-21T18:30:19Z,OOVCxT1TuB8,12809,918,52,2024-11-26
트윈스를 지켜낸 손주영의 무실점 QS+ 완벽투❤️‍🔥 [9월 21일 DH 2 손주영 하이라이트],2024-09-21T16:50:00Z,Njckw10EjQM,24309,1166,137,2024-11-26
#LG트윈스 무적 내야진의 탄탄한 수비💯,2024-09-21T16:45:02Z,QbAVqBL1eZ8,46127,2395,71,2024-11-26
#LG트윈스 좌측 담장을 넘어가는 승리의 솔로포 두 방✌️,2024-09-21T16:15:06Z,R2ioLwEiMrI,35375,1957,29,2024-11-26
9월 21일 DH 2 두산 vs LG [2024 정규시즌 하이라이트],2024-09-21T15:25:20Z,5nU0jtKqRds,24254,791,163,2024-11-26
#LG트윈스 #위닝모먼트 위기는 막고 기회를 이어가다👏,2024-09-20T05:00:25Z,Sguh2-ZPxJ0,30790,1411,21,2024-11-26
홈런이 3개!⚾👌 9월 19일 [덕아웃 직캠],2024-09-20T01:00:35Z,tgJfFKE0ARg,46439,1982,187,2024-11-26
#LG트윈스 베테랑과 영건 배터리🥹🤍,2024-09-19T18:00:14Z,ZQI5-AMXouU,46652,2630,76,2024-11-26
#LG트윈스 재역전 결승타! 승기를 가져온 김현수의 활약🔥,2024-09-19T17:30:05Z,lCUkvRtLTJo,28853,1350,53,2024-11-26
#LG트윈스 강견 우익수 홍창기의 완벽 송구👊,2024-09-19T17:00:04Z,3vBBa5dIzzI,80080,3541,95,2024-11-26
#LG트윈스 쳤다 하면 안타! 홍창기의 데뷔 첫 5안타💥,2024-09-19T16:30:14Z,7D7sAyTBuWQ,25411,1807,55,2024-11-26
눈부신 데뷔 첫 기록✨ 홍창기&이종준의 [트윈스WIN터뷰],2024-09-19T15:52:30Z,a24EQ1LZdwk,19018,1268,121,2024-11-26
9월 19일 LG vs 롯데 [2024 정규시즌 하이라이트],2024-09-19T14:38:10Z,UnO-AEC06Tw,32787,1050,83,2024-11-26
연휴의 마지막과 함께 찾아온 역전승🌕 9월 18일 [덕아웃 직캠],2024-09-19T01:00:03Z,8A2Ai-SC9T0,39913,1666,187,2024-11-26
#LG트윈스 낭만 가득 임찬규의 통산 1000K 달성🍀,2024-09-18T14:50:00Z,UZOnQGnuOKg,25848,1753,59,2024-11-26
우리에게 맡겨😎 임찬규&홍창기의 [트윈스WIN터뷰],2024-09-18T14:40:00Z,0U2UYsreXTM,15498,1177,112,2024-11-26
#LG트윈스 보물 같은 동점포와 경기를 뒤집는 적시타💎😈,2024-09-18T14:17:23Z,7ZXEuOs8bgo,32925,2134,57,2024-11-26
9월 18일 LG vs 롯데 [2024 정규시즌 하이라이트],2024-09-18T13:37:50Z,TLsB_ooFHZ0,33186,1042,109,2024-11-26
꿈과 희망을 전하는 2024 유소년 야구 클리닉 두드림🌱 [트윈스REC],2024-09-17T03:00:30Z,iJlKzUVpO9U,14768,647,86,2024-11-26
취향 존중! 추석 맞이 개성만점 송편 만들기🌕 [LP],2024-09-16T09:00:08Z,AxI2xk4viVY,49051,1655,185,2024-11-26
#LG트윈스 트윈스 타자의 새로운 역사! KBO리그 8월 MVP 오스틴👑,2024-09-16T03:00:12Z,IFaz5F33-tY,8782,1006,34,2024-11-26
두 자릿수 득점과 함께한 연패 탈출🍀 9월 14일 [덕아웃 직캠],2024-09-15T01:00:18Z,W0zESCLCCqE,28026,1168,146,2024-11-26
#LG트윈스 날려버려〰️💨 안타💥 박해민‼️,2024-09-14T16:46:21Z,dzIvHS_cf0I,28459,1575,91,2024-11-26
승리의 수호신🧚‍♂ 에르난데스&문보경의 [트윈스WIN터뷰],2024-09-14T16:30:06Z,_c6J7i02i40,8446,564,45,2024-11-26
#LG트윈스 누오의 3안타와 슈퍼캐치 (._____.)✨,2024-09-14T15:30:03Z,80ogVf0tx1k,30958,1607,40,2024-11-26
#LG트윈스 이닝을 삭제하는 에르난데스의 7K🤘,2024-09-14T15:00:12Z,l_vLrDjN-2E,29316,1297,28,2024-11-26
9월 14일 LG vs NC [2024 정규시즌 하이라이트],2024-09-14T13:22:01Z,S31p1EUrHSs,29278,748,125,2024-11-26
두근두근❤‍🔥 보경 생애 첫 홈스틸 후기 [엘코더],2024-09-13T11:00:55Z,p8dpJCVeSbE,29901,1555,113,2024-11-26
#LG트윈스 우리집 고구마의 착실한 루틴🍠,2024-09-13T05:08:05Z,tJ68D9et43A,15027,751,12,2024-11-26
💎5년만에 돌아온 여.사.다💎 [트윈스REC],2024-09-12T10:33:25Z,FtUmwzGlsjg,15802,661,76,2024-11-26
만족도 최상! 2025 KBO 신인 드래프트 현장🔥 [트윈스REC],2024-09-12T06:20:25Z,ooQtSmomrYU,99436,2473,344,2024-11-26
고구마 투수 손주영과 함께 출근해요🚗 | 아침 식사 메뉴 공개 | 해명 타임까지..?🍠 [LP],2024-09-09T09:00:52Z,xYxyvlGfP4E,93560,2798,296,2024-11-26
#LG트윈스 #위닝모먼트 당찬 뽀니! 구본혁의 완벽 활약상6️⃣,2024-09-09T05:00:39Z,zeja6-Bub8I,28611,1499,31,2024-11-26
